Sl_No,District,Sanctioned_PFC
180,Golaghat,Bokakhat West Development Block (Revised)
181,Golaghat,"DTO Office, Golaghat"
182,Golaghat,"Golaghat North Development Block, Dergaon"
183,Golaghat,"Gomari Dev. Block , Gomari (Revised)"
184,Jorhat,Jorhat Municipality Board
185,Jorhat,Mariani Circle Office
186,Jorhat,Titabor Dev Block
187,Jorhat,"North West Dev Block, Dhekorgorah"
188,Jorhat,Teok Circle Office
189,Jorhat,Kaliapani Dev Block
190,Jorhat,"Central Development Block, Chipahikhola"
191,Jorhat,"Jorhat Development Block , Baghchung"
192,Jorhat,Jorhat East Development Block
193,Jorhat,"DTO, Jorhat"
194,Jorhat,"70 No Madhya Khangia GP, Jorhat"
195,Jorhat,89 No Borholla GP
196,Hojai,"Udali Dev Block , Bamun Gaon Lanka"
197,Hojai,"Dhalpukhuri Dev Block , Dhalpukhuri"
198,Hojai,"Lumding Dev Block , Bamun Gaon Lanka"
199,Hojai,Jugijan Dev Block Hojai
200,Hojai,Sub _Registrar Office Hojai
201,Hojai,Doboka Municipality Board
202,Hojai,Hojai Municipalti Board Hojai
203,Hojai,Lanka Municipalty Board
204,Hojai,Lumding Municipalti Board
205,Hojai,Binakandi Dev. Block
206,Hojai,District Agricultural Office
207,Majuli,Ujani Majuli Rev Circle
208,Majuli,"Ujani Majuli Dev Block , Jengraimukh"
209,Majuli,"Majuli Dev Block , Kamalabari"
210,Majuli,Chilakola GP Office
211,Majuli,Dakhin Ahatguri GP Office
212,Majuli,Ratanpur Miri GP Office
213,Majuli,Rawanapar GP Office
214,Dibrugarh,Barbaruah Dev Block
215,Dibrugarh,Khowang Dev Block
216,Dibrugarh,Tingkhong Dev Block
,,
217,Dibrugarh,Joypur Dev Block
218,Dibrugarh,Lohoal Dev Block
219,Dibrugarh,Tengakhat Dev Block
220,Dibrugarh,Dibrugarh MNB
221,Dibrugarh,Panitola Dev Block
222,Dibrugarh,Dibrugarh DTO
223,Dibrugarh,Naharkatia MNB
224,Sivsagar,Sivsagar Dev Block (Kheluwa)
225,Sivsagar,Sibsagar Municipal Board
226,Sivsagar,Sibsagar DTO
227,Sivsagar,Simalguri Gram Panchayat
228,Sivsagar,Gourisagar Dev Block
229,Sivsagar,Amguri Municipal Board
230,Sivsagar,"Asst. Executive Engineer PWD Road, Geleky"
231,Sivsagar,Nazira Dev Block
232,Sivsagar,Demow Dev Block
233,Charaideo,Sapekhati Dev Block
234,Charaideo,Sub Registar Office Charaideo Sonari
235,Charaideo,West Abhoipur Dev Block
236,Charaideo,Lakuwa Deb Block
237,Tinsukia,Tinsukia Revenue Circle Office
238,Tinsukia,Guijan Dev Block
239,Tinsukia,Hapjan Dev Block
240,Tinsukia,Doomdooma Circle Revenue Office
241,Tinsukia,Tinsukia Municipal Board
242,Tinsukia,Margherita Dev Block
243,Tinsukia,Kakopathar Dev Block
244,Tinsukia,Saikhowa Dev Block
245,Tinsukia,Sadiya Development Block
246,Tinsukia,Itakhuli Dev Block
247,Tinsukia,Sadiya Revenue Circle Office
248,Cachar,Silchar Deputy Registrar office
249,Cachar,Silchar Sub Registrar office
250,Cachar,Cachar DTO
251,Cachar,"Cachar, Silchar BDO office"
252,Cachar,Katigorah Block office
253,Cachar,Katigorah Sub Registrar office
254,Cachar,Kalain Block office
255,Cachar,Tapang Block office
256,Cachar,Salchapra Block office
257,Cachar,Udarbond Block Office
258,Cachar,Borkhola Block
259,Cachar,Banskandi Dev Block
260,Cachar,Palonghat Block office
261,Cachar,Palonghat Sub Registrar office
262,Cachar,Sonai Dev Block
263,Cachar,Narsingpur Block
,,
264,Cachar,Borjalenga Block dev
265,Cachar,Binakandi Dev Block
266,Cachar,Lakhipur Block
267,Cachar,Lakhipur Municipal office
268,Cachar,Cachar Municipal
269,Cachar,Barjatrapur Gram Panchayat (GP)
270,Cachar,82 No. Manipur Tarapur Gaon Panchayat
271,Hailakandi,SIPRD Boalipar
272,Hailakandi,Lala Block Office
273,Hailakandi,Katlicherra Block Office
274,Hailakandi,S.Hailakandi Dev Block
275,Hailakandi,Hailakandi Circle Office
276,Hailakandi,Algapur Dev Block
277,Karimganj,Dullacherra Block Office
278,Karimganj,Lowairapora Block Office
279,Karimganj,North Karimganj Block Office
280,Karimganj,Patharkandi Block Office
281,Karimganj,South Karimganj Block Office
282,Karimganj,Ramkrishnanagar Circle Office
283,Karimganj,Patharkandi Circle Office
284,Karimganj,Nilambazar Circle Office
285,Kokrajhar,Gossaigaon Sdo Civil
286,Kokrajhar,Hatidhura Block Office
287,Kokrajhar,Kachugaon Block Office
288,Kokrajhar,SerfanguriThesil Office
289,Kokrajhar,Titaguri Block Office
290,Kokrajhar,Bhawraguri Circle Office
291,Kokrajhar,Bogribari Circle Office
292,Kokrajhar,Dotoma Circle office
293,Chirang,"RUNIKHATA V.C.D.C, CHIRANG"
294,Chirang,"SDO CIVIL BIJNI, CHIRANG."
295,Chirang,Bengtol Rev Circle
296,Chirang,Sidli Revenue Circle Office
297,Udalguri,Dimakuchi SDO (Agri) Office
298,Udalguri,Rowta Block Office
299,Udalguri,O/EeDhanshree Project Weir Div. Bhairakunda
300,Udalguri,BhergaonSdo(Civil) Office
301,Udalguri,Kalaigaon Circle Office
302,Udalguri,Udalguri Circle Office
303,Udalguri,Khairabari Circle Office
304,Udalguri,Mazbat Circle Office
305,Udalguri,Harisinga Circle Office
306,Baksa,Barama block office
307,Baksa,"Forest Range Office, Kumrikata"
308,Baksa,Gareshwar Block Office
309,Baksa,Nagrijuli Block office
310,Baksa,Salbari SDO
,,
311,Baksa,Tamulpur SDO office(Tamulpur DC Office)
312,Baksa,Baganpara Revenue Circle Office
313,Baksa,Barama Revenue Circle Office
314,Baksa,"Circle Office , Baksa"
315,Baksa,Goreshwar Revenue Circle Office
316,Baksa,Jalah Revenue Circle Office
317,Baksa,Circle Office Tamulpur
318,Kokrajhar,DC Office Kokrajhar
319,Chirang,"DC Office , Chirang."
320,Udalguri,Udalguri DC Office
321,Baksa,Baksa DC Office
322,Dima Hasao,N.C.Hills Autonomous Council
323,Dima Hasao,"J.V.D Block , Mahur"
324,Dima Hasao,P.W.D. Ib Of Laisong
325,Dima Hasao,Community Hall N.Songkai
326,Dima Hasao,Gunjung Veterinary Dispensary
327,Dima Hasao,"New Sangbar Dev. Block,Dihangi"
328,Dima Hasao,Thaisubari P.W.D. Ib
329,Dima Hasao,Diyungbra Dev. Block Office
330,Dima Hasao,Umrangsu Town Committee
331,Dima Hasao,P.W.D. IbLangting
332,Dima Hasao,Maibong B.D.O.
333,Dima Hasao,Khepre Irrigation Ib
334,Dima Hasao,Harangajao Dev. Block Office
335,Dima Hasao,"D.C. Office,Haflong"
336,Karbi Anglong,Bokajan Development Block
337,Karbi Anglong,Dengaon Irrigation IB
338,Karbi Anglong,Diphu District Transport office
339,Karbi Anglong,Howraghat Development Block
340,Karbi Anglong,Howraghat SDO(Civil) office
341,Karbi Anglong,"Karbi Anglong Autonomous Council, KAAC office"
342,Karbi Anglong,Langsomepi Development Block
343,Karbi Anglong,Lumbazong Dev. Block
344,Karbi Anglong,Nilip Development Block
345,Karbi Anglong,Phuloni A.R.O. office
346,Karbi Anglong,Rongmongwe Dev.Block office
347,Karbi Anglong,Silanijan ARO Office
348,Karbi Anglong,Diphu Revenue Office
349,Karbi Anglong,Samelangshoo Block Office
350,Karbi Anglong,"DC Office, Diphu"
351,West Karbi Anglong,Amri Development Block
352,West Karbi Anglong,Chinthong Development Block
353,West Karbi Anglong,Rongkhang Development Block
354,West Karbi Anglong,"DC Office, Hamreng"
355,Dima Hasao,"Veterinary office, Nriachibangiao"
